T,AU,TI,PY,T2,VL,SP,EP,DO,UR,AD,AB,KW,PB,SN,LA,J2,M3,DB,N1,TY,C7,IS,ST,C2
,"Belloni, E.; Massaccesi, A.; Moscatiello, C.; Martirano, L.",Implementation of a New Solar-Powered Street Lighting System: Optimization and Technical-Economic Analysis Using Artificial Intelligence,2024,IEEE Access,12,46657,46667,10.1109/ACCESS.2024.3382191,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189154335&doi=10.1109%2fACCESS.2024.3382191&partnerID=40&md5=f7807f8cbe710e528e8a523986241de0,"University of Perugia, Department of Engineering, Perugia, 06132, Italy; Sapienza University of Rome, Department of Electrical Engineering, Rome, 00185, Italy","Public lighting system represents a key role in the energy transition process, considering the high electricity consumptions related to this sector. The integration of renewables could be suitable for this application and many solutions of solar-based lamps for street lighting are spreading. In this research work, a specific application of a PV-integrated lighting system was installed in the center of Italy along a footpath and monitored for several months, both in terms of electricity parameters and lighting behavior. It is equipped with monocrystalline photovoltaic cells, a lithium-based battery, and a LED lamp. The measured data allow the development of an optimization algorithm in Python program for the correct management of the solar streetlamp and the forecasting of electricity consumptions for different boundary conditions (e.g. Italian geographical position). The energy taken from grid in a year is very low with respect to a traditional lamp not powered by renewables: only 43-46% in central-northern regions and 35% in south region. Data are also used to study the possible substitution of all the traditional lamppost of the walkway with the novel proposed system. A technical-economic analysis is carried out to analyze the effectiveness of this solution not only in terms of electricity consumptions reduction, but also costs savings. The suitability of the investment and the payback time depend on Italian national price of electricity and initial cost of the solar lamp. The results can be applied to similar case studies in Italy to save electricity consumptions and reduce CO2 emissions. © 2013 IEEE.",Artificial intelligence; electricity consumptions; LED; optimization algorithm; photovoltaic (PV); storage; streetlamp; technical-economic analysis; Artificial intelligence; Computer software; Cost benefit analysis; Digital storage; Economic analysis; Electric energy storage; Electric power utilization; Light emitting diodes; Lithium batteries; Optimization; Photoelectrochemical cells; Solar energy; Solar power generation; Battery; Electricity-consumption; Energy-consumption; Green products; Optimization algorithms; Optimization method; Pedestrian; Photovoltaic; Photovoltaic systems; Photovoltaics; Renewable energy source; Streetlamp; Technical-economic analysis; Technology managements; Investments,Institute of Electrical and Electronics Engineers Inc.,21693536 (ISSN),English,IEEE Access,Article,Scopus,"Export Date: 27 September 2024; Cited By: 0; Correspondence Address: E. Belloni; University of Perugia, Department of Engineering, Perugia, 06132, Italy; email: elisa.belloni@unipg.it",JOUR,,,,
,"Vaz, T.G.; Oliveira, B.B.; Brandão, L.",Optimisation for operational decision-making in a watershed system with interconnected dams,2024,Applied Energy,367,,,10.1016/j.apenergy.2024.123385,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193072826&doi=10.1016%2fj.apenergy.2024.123385&partnerID=40&md5=b7b9d276b69c4bf97300108cd7e45cea,"Faculty of Engineering, University of Porto, Portugal; INESC TEC, Faculty of Engineering, University of Porto, Rua Dr. Roberto Frias, s/n, Porto, 4200-465, Portugal; EDP - Gestão da Produção de Energia, Portugal","In the energy production sector, increasing the quantity and efficiency of renewable energies, such as hydropower plants, is crucial to mitigate climate change. This paper proposes a new and flexible model for optimising operational decisions in watershed systems with interconnected dams. We propose a systematic representation of watersheds by a network of different connection points, which is the basis for an efficient Mixed-Integer Linear Programming model. The model is designed to be adaptable to different connections between dams in both main and tributary rivers. It supports decisions on power generation, pumping and water discharge, maximising profit, and considering realistic constraints on water use and factors such as future energy prices and weather conditions. A relax-and-fix heuristic is proposed to solve the model, along with two heuristic variants to accommodate different watershed structures and sizes. Methodological tests with simulated instances validate their performance, with both variants achieving results within 1% of the optimal solution faster than the model for the tested instances. To evaluate the performance of the approaches in a real-world scenario, we analyse the case study of the Cávado watershed (Portugal), providing relevant insights for managing dam operations. The model generally follows the actual decisions made in typical situations and flood scenarios. However, in the case of droughts, it tends to be more conservative, saving water unless necessary or profitable. The model can be used in a decision-support system to provide decision-makers with an integrated view of the entire watershed and optimised solutions to the operational problem at hand. © 2024 The Author(s)",Interconnected dams; MILP; Optimisation; Relax-and-fix; Watershed system; Portugal; Artificial intelligence; Climate change; Costs; Decision making; Decision support systems; Hydroelectric power; Hydroelectric power plants; Integer programming; Profitability; Watersheds; Energy production sector; Hydropower plants; Interconnected dam; MILP; Operational decision making; Optimisations; Performance; Relax and fixes; Renewable energies; Watershed system; dam; decision making; decision support system; numerical model; optimization; watershed; Dams,Elsevier Ltd,03062619 (ISSN),English,Appl. Energy,Article,Scopus,"Export Date: 27 September 2024; Cited By: 0; Correspondence Address: B.B. Oliveira; INESC TEC, Faculty of Engineering, University of Porto, Porto, Rua Dr. Roberto Frias, s/n, 4200-465, Portugal; email: beatriz.oliveira@fe.up.pt; CODEN: APEND",JOUR,123385,,,
,"Patel, A.; Gnana Swathika, O.V.",Off-Grid Small-Scale Power Forecasting Using Optimized Machine Learning Algorithms,2024,IEEE Access,12,107406,107419,10.1109/ACCESS.2024.3430385,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199018116&doi=10.1109%2fACCESS.2024.3430385&partnerID=40&md5=d0cbe9c99c6f8a999c5e9ac1cfceebaa,"Vellore Institute of Technology, School of Electrical Engineering, Chennai, 600127, India; Vellore Institute of Technology, Centre for Smart Grid Technologies, School of Electrical Engineering, Chennai, 600127, India","Solar energy is highly unstable. Total photovoltaic energy generated varies based on changes in weather, climate and seasons. Owing to the arbitrariness of solar energy, photovoltaic output is prone to frequent power oscillations. Due to this reason, photovoltaic power prediction becomes obligatory. Through comprehensive analysis and critical examination, this research endeavours to shed light on the pursuit with regard to embracing solar energy as a sustainable channel of power generation. Additionally, the study aligns with the United Nations' commitment on achieving the Sustainable Development Goals. The objective of this study is to prognosticate the electricity output from photovoltaic panel through compilation of meteorological parameters and computation of hourly global solar radiation upon an inclined surface, alongside the resultant energy yield from an inclined photovoltaic panel. This prediction is executed through the deployment of four optimized machine learning methods, specifically Support Vector Machines, Ensemble of Trees, Gaussian Process Regression and Neural Networks. Bayesian Optimization is utilized to optimize the machine learning models by tuning its hyperparameters. The analysis is conducted across three distinct dataset classifications: annual, monthly and seasonal. The empirical findings underscore that optimized Ensemble of Trees exhibits superior performance across all dataset classifications and also necessitates shortest training duration compared to its counterparts.  © 2024 The Authors.",Bayesian optimization; Ensemble of Trees; hyperparameter tuning; LSboost; machine learning; power forecasting; surface inclination angle; sustainable energy; Adaptive boosting; Artificial intelligence; Charged particles; Classification (of information); Decision trees; Emission control; Energy conservation; Learning systems; Solar energy; Tuning; Accuracy; Bayesian optimization; Ensemble of tree; Hyper-parameter; Hyperparameter tuning; Lsboost; Machine-learning; Optimisations; Power forecasting; Predictive models; Renewable energy source; Surface inclination angle; Sustainable energy; Solar power generation,Institute of Electrical and Electronics Engineers Inc.,21693536 (ISSN),English,IEEE Access,Article,Scopus,"Export Date: 27 September 2024; Cited By: 0; Correspondence Address: O.V. Gnana Swathika; Vellore Institute of Technology, Centre for Smart Grid Technologies, School of Electrical Engineering, Chennai, 600127, India; email: gnanaswathika.ov@vit.ac.in",JOUR,,,,
,"Kwon, K.; Lee, H.-B.; Kim, N.; Park, S.; Joshua, S.R.",Integrated Battery and Hydrogen Energy Storage for Enhanced Grid Power Savings and Green Hydrogen Utilization,2024,Applied Sciences (Switzerland),14,,,10.3390/app14177631,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203636727&doi=10.3390%2fapp14177631&partnerID=40&md5=5cbf8ad5a8b206447e924d21e0f7d3f7,"Department of Electronics, Information and Communication Engineering, Kangwon National University, Samcheok-si 25913, South Korea; Department of Computer Science & Engineering, Gangneung-Wonju National University, Gangneung-si, 25457, South Korea","This study explores the integration and optimization of battery energy storage systems (BESSs) and hydrogen energy storage systems (HESSs) within an energy management system (EMS), using Kangwon National University’s Samcheok campus as a case study. This research focuses on designing BESSs and HESSs with specific technical specifications, such as energy capacities and power ratings, and their integration into the EMS. By employing MATLAB-based simulations, this study analyzes energy dynamics, grid interactions, and load management strategies under various operational scenarios. Real-time data from the campus are utilized to examine energy consumption, renewable energy generation, grid power fluctuations, and pricing dynamics, providing key insights for system optimization. This study finds that a BESS manages energy fluctuations between 0.5 kWh and 3.7 kWh over a 24 h period, with battery power remaining close to 4 W for extended periods. Grid power fluctuates between −5 kW and 75 kW, while grid prices range from 75 to 120 USD/kWh, peaking at 111 USD/kWh. Hydrogen energy storage varies from 1 kWh to 8 kWh, with hydrogen power ranging from −40 kW to 40 kW. Load management keeps power stable at around 35 kW, and PV power integration peaks at 48 kW by the 10th h. The findings highlight that BESSs and HESSs effectively manage energy distribution and storage, improving system efficiency, reducing energy costs by approximately 15%, and enhancing grid stability by 20%. This study underscores the potential of BESSs and HESSs in stabilizing grid operations and integrating renewable energy. Future directions include advancements in storage technologies, enhanced EMS capabilities through artificial intelligence and machine learning, and the development of smart grid infrastructures. Policy recommendations stress the importance of regulatory support and stakeholder collaboration to drive innovation and scale deployment, ensuring a sustainable energy future. © 2024 by the authors.",battery energy storage systems (BESSs); energy management system (EMS); grid stability; hydrogen energy storage systems (HESSs); renewable energy integration; simulation; Battery management systems; Battery storage; Charge storage; Decision making; Electric power system stability; Energy utilization; Hydrogen storage; Information management; MATLAB; Smart power grids; Battery energy storage system; Battery energy storage systems; Energy; Energy management system; Grid stability; Hydrogen energy storage system; Hydrogen energy storages; Management systems; Renewable energy integrations; Simulation; Storage systems; Costs,Multidisciplinary Digital Publishing Institute (MDPI),20763417 (ISSN),English,Appl. Sci.,Article,Scopus,"Export Date: 27 September 2024; Cited By: 0; Correspondence Address: K. Kwon; Department of Electronics, Information and Communication Engineering, Kangwon National University, Samcheok-si 25913, South Korea; email: kweon@kangwon.ac.kr; S. Park; Department of Electronics, Information and Communication Engineering, Kangwon National University, Samcheok-si 25913, South Korea; email: sanguk@kangwon.ac.kr; S.R. Joshua; Department of Electronics, Information and Communication Engineering, Kangwon National University, Samcheok-si 25913, South Korea; email: salakirjoshua@kangwon.ac.kr",JOUR,7631,17,,
,"Mahmoud, M.; Semeraro, C.; Abdelkareem, M.A.; Olabi, A.G.",Designing and prototyping the architecture of a digital twin for wind turbine,2024,International Journal of Thermofluids,22,,,10.1016/j.ijft.2024.100622,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187776013&doi=10.1016%2fj.ijft.2024.100622&partnerID=40&md5=3642fa9b5fee0098efc7f60bbb312ab8,"Sustainable Energy & Power Systems Research Centre, RISE, University of Sharjah, P.O. Box 27272, Sharjah, United Arab Emirates; Department of Industrial and Management Engineering, University of Sharjah, Sharjah, United Arab Emirates; Chemical Engineering Department, Minia University, Elminia, Egypt; Mechanical Engineering and Design, Aston University, School of Engineering and Applied Science, Aston Triangle, Birmingham, B4 7ET, United Kingdom","This paper outlines the key components necessary to develop a digital twin (DT) for a wind turbine, aiming to provide a detailed methodology and guidelines for building this system, which facilitates optimization during operation and helps prevent system failures. It presents the four major systems required to construct the DT: the physical, digital, connection, and service systems. This study also presents the critical design, measured, and calculated parameters of a wind turbine, which are essential to the development of the DT. The physical system of the wind turbine and its critical components were examined, including the rotor, blades, shaft, generator, tower, and nacelle. The paper also explores the digital system of the DT, including data storage, digital models, and mathematical modeling. The problems that may occur during the operation were presented in addition to the possible solutions that the service system must suggest. According to the project's needs and requirements, it was found that the DT of a wind turbine can employ various connection systems such as supervisory control and data acquisition, wireless sensor networks, smart grids, Internet of Things, and cloud-based systems. © 2024 The Authors",Artificial intelligence; Digital twin; Machine learning; Renewable energy; Wind energy; Wind turbine; Data acquisition; Digital storage; E-learning; Machine learning; Smart power grids; Wind power; Wireless sensor networks; Critical component; Critical design; Digital system; Machine-learning; Optimisations; Physical systems; Renewable energies; Rotor blades; Service systems; System failures; Wind turbines,Elsevier B.V.,26662027 (ISSN),English,Int. J. Thermofluids,Article,Scopus,"Export Date: 27 September 2024; Cited By: 1; Correspondence Address: M.A. Abdelkareem; Sustainable Energy & Power Systems Research Centre, RISE, University of Sharjah, Sharjah, P.O. Box 27272, United Arab Emirates; email: mabdulkareem@sharjah.ac.ae",JOUR,100622,,,
,"Naceur, F.B.; Toumi, S.; Ben Salah, C.; Mahjoub, M.A.; Tlija, M.",Decision-making solutions based artificial intelligence and hybrid software for optimal sizing and energy management in a smart grid system,2024,Concurrent Engineering Research and Applications,,,,10.1177/1063293X241266338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201722487&doi=10.1177%2f1063293X241266338&partnerID=40&md5=93fbf15d6d72b07caf3a542e4e299d26,"National Engineering School of Sousse, LATIS - Laboratory of Advanced Technology and Intelligent Systems, University of Sousse, Sousse, Tunisia; Institut de Recherche Dupuy de Lôme (UMR CNRS 60 27 IRDL), University of Brest, Brest, France; Laboratory of Automation, Electrical Systems and Environment (LASEE), University of Monastir, Monastir, Tunisia; ISSAT of Sousse, University of Sousse, Sousse, Tunisia; Department of Industrial Engineering, College of Engineering, King Saud University, Riyadh, Saudi Arabia","This paper describes a decentralised smart grid system containing renewable energies, storage systems and distributed generation with human control and intervention. The importance of each element and the interaction between them leads to think about a decision-making strategy. In fact, the integration of a Photovoltaic Panel (PVP) is used due to its availability and its participation in the carbon emissions reduction. Also, a battery is required to fill a power gap or absorb extra generated energy. Moreover, an optimal sizing is needed to get an efficient system with minimum cost. Also, an energy management strategy (EMS) is essential to ensure the power resources scheduling in order to keep a continuous equilibrium supply-demand of electricity and avoid instabilities in the grid, with guaranteeing a minimum cost of electricity. In the first part, the proposed smart grid optimal sizing is determined under real weather data (solar radiation) of the city of Sousse, Tunisia, using the Hybrid Optimization of Multiple Energy Resources (HOMER) software technique. This approach is chosen thanks to its simplicity, effectiveness, and high precision compared to traditional techniques. In this paper, several configurations (Grid, (Grid-battery), (Grid-PVP), (Grid-PVP-battery)) are studied. The obtained results prove that the (Grid-PVP-battery) system configuration is the most efficient and economical solution. In the second part, a robust energy management strategy (EMS) is proposed for two smart grid configurations (grid-battery, grid-PVP-battery). This strategy is based on Fuzzy Logic Control (FLC) thanks to its non-linear modelling and its ability to make decisions relating to energy management. The primary goal of the suggested (EMS) is to ensure the energy resources scheduling in order to keep a continuous equilibrium among the production and consumption of electricity and avoid instabilities in the grid, with guaranteeing a minimum cost of electricity. As input data, (FLC) used time-varying price electricity (Price (t)) to solve an instant decision problem by choosing, at each instant, the optimal energy source (which provide electricity at the cheapest price possible). The obtained results, carrying out Matlab simulation, prove the efficacy of the proposed strategy, not only, in the energy resources scheduling to meet the load, but also, for the system cost reduction since the PVP has been used as much as possible since it is inexpensive relative to the costs of battery capacity and the grid. © The Author(s) 2024.",artificial intelligence; battery; decision-making; energy management strategy; fuzzy logic control; hybrid optimization of multiple energy resources; photovoltaic panel; reliable; sizing; smart grid; switch; Battery management systems; Benchmarking; Budget control; Competitive intelligence; Convex optimization; Costs; Customer satisfaction; Decision making; Dynamic frequency scaling; Dynamic programming; Empowerment of personnel; Enterprise resource planning; Industrial relations; Industrial waste disposal; Industrial waste treatment; Input output programs; Integer programming; Job analysis; Lean production; Markup languages; Nuclear batteries; Phosphate deposits; Power management (telecommunication); Product development; Quality of service; Refuse digestion; Renewable energy; Resource allocation; Risk management; Sales; Six sigma; Smart power grids; Strategic planning; Taxation; Total quality management; Virtual storage; Voltage scaling; Water treatment; Battery; Decisions makings; Energy; Energy management strategy; Fuzzy logic control; Hybrid optimization; Hybrid optimization of multiple energy resource; Management strategies; Photovoltaic panels; Reliable; Sizing; Smart grid; MATLAB,SAGE Publications Ltd,1063293X (ISSN),English,Concurrent Eng Res Appl,Article,Scopus,"Export Date: 27 September 2024; Cited By: 0; Correspondence Address: F.B. Naceur; National Engineering School of Sousse, LATIS - Laboratory of Advanced Technology and Intelligent Systems, University of Sousse, Sousse, Tunisia; email: swadref87@hotmail.com; CODEN: CRAPE",JOUR,,,,
,"Saloux, E.; Runge, J.; Zhang, K.",Operation optimization of multi-boiler district heating systems using artificial intelligence-based model predictive control: Field demonstrations,2023,Energy,285,,,10.1016/j.energy.2023.129524,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175302153&doi=10.1016%2fj.energy.2023.129524&partnerID=40&md5=d91972d0ace8e41d21fa19bb66407fa6,"CanmetENERGY, Natural Resources Canada, Varennes, Québec, Canada; École de Technologie Supérieure, Montréal, Québec, Canada","District energy systems through fourth and fifth generations have shown great promises to help integrate renewable energy sources at large scale and to decarbonize the built environment. However, older generations using boilers represent a large proportion of systems currently in operation, and significantly contribute to greenhouse gas (GHG) emissions. Moreover, operational data has become increasingly available for these older generation systems and represents a suitable opportunity for Artificial Intelligence (AI)-based modelling and advanced controls. In this context, model predictive control (MPC) has appeared as a powerful control solution; however, field implementation remains relatively scarce. This paper aims to develop an AI-based MPC strategy for multi-boiler district heating systems. It relies on heating load forecasting machine learning models and data-driven boiler performance curves to optimize boiler thermal outputs. This strategy was implemented in two Canadian demonstration sites and showed GHG emissions reductions of 1.3 % and 2.8 %. Although relatively modest, statistical analysis confirmed the realization of these savings. In absolute terms, the strategy helped avoid 45 t and 77 t CO2eq emissions and save $10,268 and $19,975 CAD during the testing period of 2–3 months. The model and strategy developed in this work could be easily scalable to similar district heating systems. © 2023",Boiler efficiency; District heating; Field demonstration; Load forecasting; Model predictive control; Scheduling; Artificial intelligence; Boilers; Curve fitting; Demonstrations; District heating; Gas emissions; Greenhouse gases; Predictive control systems; Renewable energy resources; Boiler efficiency; Control fields; District energy systems; District heating system; Field demonstration; Integrate renewable energies; Load forecasting; Model-predictive control; Operations optimization; Scheduling; alternative energy; greenhouse gas; heating; machine learning; optimization; statistical analysis; Model predictive control,Elsevier Ltd,03605442 (ISSN),English,Energy,Article,Scopus,"Export Date: 27 September 2024; Cited By: 4; Correspondence Address: E. Saloux; CanmetENERGY, Natural Resources Canada, Varennes, Canada; email: etienne.saloux@NRCan-RNCan.gc.ca; CODEN: ENEYD",JOUR,129524,,,
,"Zhou, Y.; Liu, J.",Advances in emerging digital technologies for energy efficiency and energy integration in smart cities,2024,Energy and Buildings,315,,,10.1016/j.enbuild.2024.114289,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193571163&doi=10.1016%2fj.enbuild.2024.114289&partnerID=40&md5=7d4d4894047919a42b9697c8b2a22a86,"Sustainable Energy and Environment Thrust, Function Hub, The Hong Kong University of Science and Technology (Guangzhou), Nansha, Guangdong, Guangzhou, 511400, China; Department of Mechanical and Aerospace Engineering, The Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong; HKUST Shenzhen-Hong Kong Collaborative Innovation Research Institute, Shenzhen, Futian, Hong Kong; Division of Emerging Interdisciplinary Areas, The Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong","Advances and fast development in emerging digital technologies trigger the next generation revolution in energy areas and smart cities, while roles and mechanisms of digital technologies for smart and sustainable transition is unclear. Furthermore, energy flexibility enhancement in intermittent renewable-stochastic demand power management and survival capability in minimizing frequency of power outrage are still not clear, when suffering from climate change and extreme events with emerging digital technologies. In this study, advances in emerging digital technologies have been systematically and comprehensively reviewed, in terms of current development status and mechanisms for energy efficiency and energy integration in energy-efficient systems. Afterwards, roles of energy digitalization technologies are provided for high-efficiency, low-carbon and intelligent building energy systems, including artificial intelligence for dynamic performance predictions, advanced model predictive controls and optimisations of nonlinear systems (e.g., PVs, heat pumps, heat recovery systems and multi-energy storages). Furthermore, digital twin-based building energy digitalization technologies are applied for 3D modeling, monitoring, real-time visualization and virtual reality interaction. Frontier multi-agent based distributed energy systems are comprehensively proposed with multi-agent energy management, including RE-battery-building-EV, RE-building-hydrogen vehicles, and both centralised and distributed energy management systems. Considering the multi-energy system capability for power management (intermittent renewable energy and energy demands) and survival capability when suffering from high-impact and low-probability events, both energy flexibility and energy resilience with energy digitalization technologies are interconnected, for climate change adaption and internet of energy. This study provides a systematic and comprehensive review on emerging digital technologies for energy efficiency and energy integration in smart cities, providing guidelines on sustainable and smart transitions with multi-agent based distributed energy management and energy digitalization technologies. © 2024 Elsevier B.V.",Digital twin; Energy digitalization; Energy flexibility; Energy resilience; Internet of energy; Machine learning; 3D modeling; Climate change; E-learning; Energy efficiency; Energy management systems; Integration; Intelligent buildings; Model predictive control; Multi agent systems; Power management; Smart city; Stochastic systems; Three dimensional computer graphics; Virtual reality; Waste heat; Agent based; Digital technologies; Energy; Energy digitalization; Energy flexibility; Energy resilience; Energy-integration; Machine-learning; Multi agent; Internet of Energy,Elsevier Ltd,03787788 (ISSN),English,Energy Build.,Article,Scopus,"Export Date: 27 September 2024; Cited By: 3; Correspondence Address: Y. Zhou; Sustainable Energy and Environment Thrust, Function Hub, The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, Nansha, Guangdong, 511400, China; email: yuekuanzhou@hkust-gz.edu.cn; CODEN: ENEBD",JOUR,114289,,,
,"Vaish, J.; Tiwari, A.K.; Kaimal, S.",Multi-objective optimization of distributed energy resources based microgrid using random forest model,2024,Bulletin of Electrical Engineering and Informatics,13,67,75,10.11591/eei.v13i1.7087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186219178&doi=10.11591%2feei.v13i1.7087&partnerID=40&md5=0dc801c31812ef0752d8cd68b554043d,"Department of Electronics and Communication Engineering, Amity University Uttar Pradesh, Lucknow Campus, Uttar Pradesh, India; Department of Electrical and Electronics Engineering, Amity University Uttar Pradesh, Lucknow Campus, Uttar Pradesh, India; Department of Electrical Engineering, Institute of Engineering and Technology, Uttar Pradesh, Lucknow, India","Microgrids (MG) in integration with distributed energy resources (DERs) are one of the key models for resolving the current energy problem by offering sustainable and clean electricity. This research presents a novel approach to address the complex challenges of optimizing a DERs based microgrid while considering multiple objectives. In this paper, the utilization of a popular machine learning algorithm, random forest (RF) model is proposed to optimize the DERs based MG configuration. The research commences by collecting historical data on energy consumption, renewable energy production, electricity prices, weather conditions, and other relevant factors of Bengaluru City (Karnataka, India) for different seasons. This research covers the conflicting objectives by finding optimal seasonal sizing of the battery, minimum generation cost, and reduction in battery charging cost. The optimization and analysis are done using an ensemble learningbased RF model. The findings from the RF model are compared with metaheuristics and artificial intelligence (AI) methods such as particle swarm optimization (PSO) and artificial neural networks (ANN) for different seasons, i.e., winter, spring and autumn, summer, and monsoon. © 2024, Institute of Advanced Engineering and Science. All rights reserved.",Battery energy storage systems; Distributed energy resources; Ensemble learning; Microgrid; Random forest,Institute of Advanced Engineering and Science,20893191 (ISSN),English,Bull. Electr. Eng. Inform.,Article,Scopus,"Export Date: 27 September 2024; Cited By: 1; Correspondence Address: J. Vaish; Department of Electronics and Communication Engineering, Amity University Uttar Pradesh, Lucknow Campus, Uttar Pradesh, India; email: itayaj26@gmail.com",JOUR,,1,,
,"Dong, L.; Huang, Y.; Xu, X.; Zhang, Z.; Liu, J.; Pan, L.; Hu, W.",Research on priority scheduling strategy for smoothing power fluctuations of microgrid tie-lines based on PER-DDPG algorithm,2024,"IET Generation, Transmission and Distribution",,,,10.1049/gtd2.13267,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203365685&doi=10.1049%2fgtd2.13267&partnerID=40&md5=b274a9d27bbc5a55bed06d4775581a7f,"College of Electrical Engineering, Sichuan University, Chengdu, China; Xiaogan Electric Power Supply Company, State Grid Hubei Electric Power Company Limited, Hubei Province, Xiaogan, China; School of Mechanical and Electrical Engineering, University of Electronic Science and Technology of China, Chengdu, China","The variability of renewable energy within microgrids (MGs) necessitates the smoothing of power fluctuations through the effective scheduling of internal power equipment. Otherwise, significant power variations on the tie-line connecting the MG to the main power grid could occur. This study introduces an innovative scheduling strategy that utilizes a data-driven approach, employing a deep reinforcement learning algorithm to achieve this smoothing effect. The strategy prioritizes the scheduling of MG's internal power devices, taking into account the stochastic charging patterns of electric vehicles. The scheduling optimization model is initially described as a Markov decision process with the goal of minimizing power fluctuations on the interconnection lines and operational costs of the MG. Subsequently, after preprocessing the historical operational data of the MG, an enhanced scheduling strategy is developed through a neural network learning process. Finally, the results from four scheduling scenarios demonstrate the significant impact of the proposed strategy. Comparisons of reward curves before and after data preprocessing underscore its importance. In contrast to optimization results from deep deterministic policy gradient, soft actor-critic, and particle swarm optimization algorithms, the superiority of the deep deterministic policy gradient algorithm with the addition of a priority experience replay mechanism is highlighted. © 2024 The Author(s). IET Generation, Transmission & Distribution published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology.",artificial intelligence; energy storage; gas turbines; Markov processes; micro grids; power generation scheduling; power system stability; renewable energy sources; renewables and storage; vehicle-to-grid; Deep reinforcement learning; Ferroelectric RAM; Microgrids; Power distribution lines; Reinforcement learning; Renewable energy; Stochastic models; Stochastic systems; Vehicle-to-grid; Energy; Microgrid; Power fluctuations; Power generation scheduling; Power systems stability; Renewable and storage; Renewable energy source; Renewables; Scheduling strategies; Vehicle to grids; Markov processes,John Wiley and Sons Inc,17518687 (ISSN),English,IET Gener. Transm. Distrib.,Article,Scopus,"Export Date: 27 September 2024; Cited By: 0; Correspondence Address: X. Xu; College of Electrical Engineering, Sichuan University, Chengdu, China; email: xxiao@scu.edu.cn",JOUR,,,,
